,index,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,game_id,favorite_covered
251,255,away,home,2007-10-11,21,24,Florida State,Wake Forest,44.0,4.5,O,y,n,-309.2950819672131,392.8196721311475,Florida State_Wake Forest,2007-10-11_Florida State_Wake Forest,n
252,256,away,home,2007-10-12,42,35,Hawaii,San Jose State,66.5,15.5,O,n,y,-700,185,Hawaii_San Jose State,2007-10-12_Hawaii_San Jose State,n
277,281,home,away,2007-10-13,45,21,Air Force,Colorado State,45.5,2.5,O,y,n,-378.39325842696627,412.0,Air Force_Colorado State,2007-10-13_Air Force_Colorado State,n
278,282,home,away,2007-10-13,24,20,Temple,Akron,51.0,12.5,U,y,n,-425,400,Akron_Temple,2007-10-13_Akron_Temple,n
292,296,home,away,2007-10-13,20,44,Washington,Arizona State,57.0,11.5,O,y,n,-495.29411764705884,1050,Arizona State_Washington,2007-10-13_Arizona State_Washington,y
293,297,home,away,2007-10-13,13,20,Arizona,USC,56.0,21.0,U,y,n,-855.2,704.6285714285714,Arizona_USC,2007-10-13_Arizona_USC,n
294,298,home,away,2007-10-13,21,52,Louisiana Lafayette,Arkansas State,57.5,10.5,O,y,n,-305,345,Arkansas State_Louisiana Lafayette,2007-10-13_Arkansas State_Louisiana Lafayette,y
280,284,home,away,2007-10-13,9,7,Auburn,Arkansas,51.5,3.0,U,y,n,-276.2142857142857,120,Arkansas_Auburn,2007-10-13_Arkansas_Auburn,n
268,272,home,away,2007-10-13,23,47,Army,Central Michigan,54.0,13.5,O,y,n,-448.22222222222223,1000,Army_Central Michigan,2007-10-13_Army_Central Michigan,y
291,295,away,home,2007-10-13,24,14,BYU,UNLV,52.5,11.5,U,y,n,-495.29411764705884,393.0,BYU_UNLV,2007-10-13_BYU_UNLV,n
264,268,home,away,2007-10-13,10,58,Baylor,Kansas,57.5,26.0,O,y,n,-767.8571428571429,145,Baylor_Kansas,2007-10-13_Baylor_Kansas,y
274,278,away,home,2007-10-13,27,14,Boston College,Notre Dame,48.0,13.5,U,y,n,-240,1511.4888888888888,Boston College_Notre Dame,2007-10-13_Boston College_Notre Dame,n
267,271,away,home,2007-10-13,14,47,Bowling Green,Miami OH,56.5,1.5,O,y,n,-323.8360655737705,588.6229508196722,Bowling Green_Miami OH,2007-10-13_Bowling Green_Miami OH,n
