Date	Team	Opponent	Game	Result	Score	ATS	Spread	OU	Total	
31-Aug-24	Air Force	vs Merrimack	REG	W	21-6	L	-29.5	U	47.5	
7-Sep-24	Air Force	vs San Jose State	REG	L	17-7	L	-3	U	44.5	
14-Sep-24	Air Force	@ Baylor	REG	L	31-3	L	17	U	40.5	
28-Sep-24	Air Force	@ Wyoming	REG	L	31-19	L	-4	O	33.5	
5-Oct-24	Air Force	vs Navy	REG	L	34-7	L	10	O	37	
12-Oct-24	Air Force	@ New Mexico	REG	L	52-37	L	6.5	O	55.5	
19-Oct-24	Air Force	vs Colorado State	REG	L	21-13	L	6	U	44	
2-Nov-24	Air Force	@ Army	REG	L	20-3	W	18	U	38.5	
9-Nov-24	Air Force	vs Fresno State	REG	W	36-28	W	9.5	O	40.5	
16-Nov-24	Air Force	vs Oregon State	REG	W	28-0	W	3	U	44.5	
23-Nov-24	Air Force	@ Nevada	REG	W	22-19	W	3	U	44.5	
30-Nov-24	Air Force	@ San Diego State	REG	W	31-20	W	-6	O	43.5	
2-Sep-23	Air Force	vs Robert Morris	REG	W	42-7	L	-47	U	51.5	
9-Sep-23	Air Force	@ Sam Houston State	REG	W	13-3	L	-13.5	U	36.5	
15-Sep-23	Air Force	vs Utah State	REG	W	39-21	W	-9	O	45.5	
22-Sep-23	Air Force	@ San Jose State	REG	W	45-20	W	-6.5	O	45	
30-Sep-23	Air Force	vs San Diego State	REG	W	49-10	W	-10.5	O	43.5	
14-Oct-23	Air Force	vs Wyoming	REG	W	34-27	L	-12.5	O	42	
21-Oct-23	Air Force	@ Navy	REG	W	17-6	P	-11	U	34	
28-Oct-23	Air Force	@ Colorado State	REG	W	30-13	W	-14.5	U	46.5	
4-Nov-23	Air Force	vs Army	REG	L	23-3	L	-18.5	U	32.5	
11-Nov-23	Air Force	@ Hawaii	REG	L	27-13	L	-20	U	46.5	
18-Nov-23	Air Force	vs Nevada-Las Vegas	REG	L	31-27	L	-3	O	47	
24-Nov-23	Air Force	@ Boise State	REG	L	27-19	L	7	O	44.5	
23-Dec-23	Air Force	vs James Madison	PST	W	31-21	W	-2.5	O	44.5	
31-Aug-24	Akron	@ Ohio State	REG	L	52-6	W	48.5	O	56	
7-Sep-24	Akron	@ Rutgers	REG	L	49-17	L	24.5	O	41.5	
14-Sep-24	Akron	vs Colgate	REG	W	31-20	L	-13.5	O	48.5	
21-Sep-24	Akron	@ South Carolina	REG	L	50-7	L	24.5	O	41.5	
28-Sep-24	Akron	@ Ohio	REG	L	30-10	L	8.5	U	46.5	
5-Oct-24	Akron	vs Bowling Green	REG	L	27-20	W	16.5	U	48.5	
12-Oct-24	Akron	@ Western Michigan	REG	L	34-24	L	9.5	O	48.5	
26-Oct-24	Akron	vs Eastern Michigan	REG	W	25-21	W	2.5	U	50.5	
2-Nov-24	Akron	vs Buffalo	REG	L	41-30	L	1	O	49	
13-Nov-24	Akron	@ Northern Illinois	REG	L	29-16	W	14	O	43.5	
19-Nov-24	Akron	@ Kent State	REG	W	38-17	W	-10.5	O	49	
26-Nov-24	Akron	vs Toledo	REG	W	21-14	W	9	U	49.5	
2-Sep-23	Akron	@ Temple	REG	L	24-21	W	9.5	U	55	
9-Sep-23	Akron	vs Morgan State	REG	W	24-21	L	-25.5	U	46	
16-Sep-23	Akron	@ Kentucky	REG	L	35-3	L	25	U	48.5	
23-Sep-23	Akron	@ Indiana	REG	L	29-27	W	16.5	O	45.5	
30-Sep-23	Akron	vs Buffalo	REG	L	13-10	L	-3	U	53	
