Stadium,capacity,home
Falcon Stadium,39441,Air Force
InfoCision Stadium–Summa Field,30000,Akron
Bryant–Denny Stadium,100077,Alabama
Kidd Brewer Stadium,30000,Appalachian State
Arizona Stadium,50782,Arizona
Sun Devil Stadium,56634,Arizona State
Donald W. Reynolds Razorback Stadium,76212,Arkansas
Centennial Bank Stadium,30964,Arkansas State
Michie Stadium,40000,Army
Jordan-Hare Stadium,88043,Auburn
Scheumann Stadium,22500,Ball State
McLane Stadium,45140,Baylor
Albertsons Stadium,36387,Boise State
Alumni Stadium,44500,Boston College
Doyt L. Perry Stadium,24000,Bowling Green
UB Stadium,25013,Buffalo
LaVell Edwards Stadium,63470,BYU
California Memorial Stadium,62467,California
Kelly/Shorts Stadium,30255,Central Michigan
McColl–Richardson Field at Jerry Richardson Stadium,15314,Charlotte
Nippert Stadium,38088,Cincinnati
Frank Howard Field at Clemson Memorial Stadium,81500,Clemson
Brooks Stadium,20000,Coastal Carolina
Folsom Field,50183,Colorado
Canvas Stadium,41000,Colorado State
Pratt & Whitney Stadium at Rentschler Field,42704,Connecticut
Wallace Wade Stadium,35018,Duke
Dowdy–Ficklen Stadium,51000,ECU
Rynearson Stadium,30200,Eastern Michigan
FAU Stadium,30000,FAU
Pitbull Stadium,23500,FIU
Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,88548,Florida
Bobby Bowden Field at Doak Campbell Stadium,79560,Florida State
Valley Childrens Stadium,40727,Fresno State
Sanford Stadium,93033,Georgia
Allen E. Paulson Stadium,25000,Georgia Southern
Center Parc Stadium,25000,Georgia State
Bobby Dodd Stadium,55000,Georgia Tech
Aloha Stadium,50000,Hawaii
TDECU Stadium,40000,Houston
Memorial Stadium,60670,Illinois
Memorial Stadium,52626,Indiana
Kinnick Stadium,70585,Iowa
Jack Trice Stadium,61500,Iowa State
Burgess–Snow Field at AmFirst Stadium,22500,Jacksonville State
Bridgeforth Stadium,24878,James Madison
David Booth Kansas Memorial Stadium,47233,Kansas
Bill Snyder Family Football Stadium,50000,Kansas State
Fifth Third Stadium,10200,Kennesaw State
Dix Stadium,30520,Kent State
Kroger Field,61306,Kentucky
Arthur L. Williams Stadium,25000,Liberty
Cajun Field,36900,Louisiana Lafayette
JPS Field at Malone Stadium,30427,Louisiana Monroe
Joe Aillet Stadium,28562,Louisiana Tech
Cardinal Stadium,60800,Louisville
Tiger Stadium,102321,LSU
Joan C. Edwards Stadium,38227,Marshall
SECU Stadium,51802,Maryland
Warren McGuirk Alumni Stadium,17000,Massachusetts
Liberty Bowl Memorial Stadium,58325,Memphis
Hard Rock Stadium,64767,Miami FL
Yager Stadium,24000,Miami OH
Michigan Stadium,107600,Michigan
Spartan Stadium,75005,Michigan State
"Johnny ""Red"" Floyd Stadium",31000,Middle Tennessee
Huntington Bank Stadium,50805,Minnesota
Davis Wade Stadium,61337,Mississippi State
Faurot Field,61620,Missouri
Navy–Marine Corps Memorial Stadium,34000,Navy
Carter–Finley Stadium,58000,NC State
Memorial Stadium,90000,Nebraska
Mackay Stadium,27000,Nevada
University Stadium,39224,New Mexico
Aggie Memorial Stadium,30343,New Mexico State
Kenan Memorial Stadium,50500,North Carolina
DATCU Stadium,30850,North Texas
Huskie Stadium,30998,Northern Illinois
Ryan Field,47130,Northwestern
Notre Dame Stadium,77622,Notre Dame
