,game_id,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,favorite_covered
0,2007-10-11_Florida State_Wake Forest,away,home,2007-10-11,21,24,Florida State,Wake Forest,44.0,4.5,O,y,n,-309.2950819672131,392.8196721311475,Florida State_Wake Forest,n
1,2007-10-12_Hawaii_San Jose State,away,home,2007-10-12,42,35,Hawaii,San Jose State,66.5,15.5,O,n,y,-700,185,Hawaii_San Jose State,n
2,2007-10-13_Air Force_Colorado State,home,away,2007-10-13,45,21,Air Force,Colorado State,45.5,2.5,O,y,n,-378.39325842696627,412.0,Air Force_Colorado State,n
3,2007-10-13_Akron_Temple,home,away,2007-10-13,24,20,Temple,Akron,51.0,12.5,U,y,n,-425,400,Akron_Temple,n
4,2007-10-13_Arizona State_Washington,home,away,2007-10-13,20,44,Washington,Arizona State,57.0,11.5,O,y,n,-495.29411764705884,1050,Arizona State_Washington,y
5,2007-10-13_Arizona_USC,home,away,2007-10-13,13,20,Arizona,USC,56.0,21.0,U,y,n,-855.2,704.6285714285714,Arizona_USC,n
6,2007-10-13_Arkansas State_Louisiana Lafayette,home,away,2007-10-13,21,52,Louisiana Lafayette,Arkansas State,57.5,10.5,O,y,n,-305,345,Arkansas State_Louisiana Lafayette,y
7,2007-10-13_Arkansas_Auburn,home,away,2007-10-13,9,7,Auburn,Arkansas,51.5,3.0,U,y,n,-276.2142857142857,120,Arkansas_Auburn,n
8,2007-10-13_Army_Central Michigan,home,away,2007-10-13,23,47,Army,Central Michigan,54.0,13.5,O,y,n,-448.22222222222223,1000,Army_Central Michigan,y
9,2007-10-13_BYU_UNLV,away,home,2007-10-13,24,14,BYU,UNLV,52.5,11.5,U,y,n,-495.29411764705884,393.0,BYU_UNLV,n
10,2007-10-13_Baylor_Kansas,home,away,2007-10-13,10,58,Baylor,Kansas,57.5,26.0,O,y,n,-767.8571428571429,145,Baylor_Kansas,y
11,2007-10-13_Boston College_Notre Dame,away,home,2007-10-13,27,14,Boston College,Notre Dame,48.0,13.5,U,y,n,-240,1511.4888888888888,Boston College_Notre Dame,n
12,2007-10-13_Bowling Green_Miami OH,away,home,2007-10-13,14,47,Bowling Green,Miami OH,56.5,1.5,O,y,n,-323.8360655737705,588.6229508196722,Bowling Green_Miami OH,n
13,2007-10-13_Buffalo_Toledo,home,away,2007-10-13,33,43,Toledo,Buffalo,56.0,3.5,O,y,n,-252.70491803278688,1557.639344262295,Buffalo_Toledo,y
14,2007-10-13_California_Oregon State,home,away,2007-10-13,31,28,Oregon State,California,57.5,14.0,O,y,n,-480.8358208955224,125,California_Oregon State,n
15,2007-10-13_Cincinnati_Louisville,home,away,2007-10-13,28,24,Louisville,Cincinnati,67.0,8.0,U,y,n,-434.64102564102564,358.0,Cincinnati_Louisville,n
16,2007-10-13_Colorado_Kansas State,home,away,2007-10-13,20,47,Colorado,Kansas State,50.5,4.0,O,y,n,-252.21686746987953,275,Colorado_Kansas State,y
17,2007-10-13_Connecticut_Virginia,home,away,2007-10-13,16,17,Connecticut,Virginia,45.5,3.0,U,y,n,-276.2142857142857,250,Connecticut_Virginia,n
18,2007-10-13_Duke_Virginia Tech,away,home,2007-10-13,43,14,Virginia Tech,Duke,45.5,13.5,O,y,n,-525,265,Duke_Virginia Tech,y
