,game_id,full_date,spread,ou,ou_total,home,away,match_key,home_score,away_score,fav_side,dog_side,favorite_covered,spread_home_cover,spread_away_cover,ml_fav,ml_dog
0,2023-08-26_FIU_Louisiana Tech,2023-08-26,12.0,U,57.5,Louisiana Tech,FIU,FIU_Louisiana Tech,22,17,away,home,n,n,y,-411.86206896551727,430.82758620689657
1,2023-08-26_Hawaii_Vanderbilt,2023-08-26,17.0,O,54.5,Vanderbilt,Hawaii,Hawaii_Vanderbilt,35,28,away,home,n,n,y,-620.0,635.2702702702703
2,2023-08-26_Jacksonville State_UTEP,2023-08-26,1.5,U,54.5,Jacksonville State,UTEP,Jacksonville State_UTEP,17,14,home,away,y,y,n,-323.8360655737705,588.6229508196722
3,2023-08-26_Massachusetts_New Mexico State,2023-08-26,7.0,O,45.0,New Mexico State,Massachusetts,Massachusetts_New Mexico State,30,41,away,home,y,n,y,-470.5263157894737,1887.4812030075188
4,2023-08-26_Navy_Notre Dame,2023-08-26,20.5,U,49.5,Notre Dame,Navy,Navy_Notre Dame,42,3,away,home,n,y,n,-999.9047619047619,786.952380952381
5,2023-08-26_Ohio_San Diego State,2023-08-26,2.0,U,48.5,San Diego State,Ohio,Ohio_San Diego State,20,13,away,home,n,y,n,-474.98,1152.84
6,2023-08-26_San Jose State_USC,2023-08-26,31.0,O,66.0,USC,San Jose State,San Jose State_USC,56,28,home,away,n,n,y,-237.5,2932.5
7,2023-08-31_Connecticut_NC State,2023-08-31,14.5,U,48.0,Connecticut,NC State,Connecticut_NC State,14,24,home,away,n,n,y,-730.8421052631579,496.3421052631579
8,2023-08-31_Kent State_UCF,2023-08-31,35.5,O,53.5,UCF,Kent State,Kent State_UCF,56,6,home,away,y,y,n,-307.85714285714283,8100.0
9,2023-08-31_Minnesota_Nebraska,2023-08-31,7.5,U,43.0,Minnesota,Nebraska,Minnesota_Nebraska,13,10,away,home,n,n,y,-367.5833333333333,977.5555555555555
10,2023-09-01_Central Michigan_Michigan State,2023-09-01,14.0,U,44.5,Michigan State,Central Michigan,Central Michigan_Michigan State,31,7,away,home,n,y,n,-480.8358208955224,508.25373134328356
11,2023-09-01_Georgia Tech_Louisville,2023-09-01,7.5,O,49.5,Georgia Tech,Louisville,Georgia Tech_Louisville,34,39,away,home,n,y,n,-367.5833333333333,977.5555555555555
12,2023-09-01_Hawaii_Stanford,2023-09-01,2.5,O,54.5,Hawaii,Stanford,Hawaii_Stanford,24,37,away,home,y,n,y,-378.39325842696627,412.0
13,2023-09-02_Akron_Temple,2023-09-02,9.5,U,55.0,Temple,Akron,Akron_Temple,24,21,away,home,n,n,y,-378.86538461538464,437.7307692307692
14,2023-09-02_Alabama_Middle Tennessee,2023-09-02,39.0,O,52.0,Alabama,Middle Tennessee,Alabama_Middle Tennessee,56,7,home,away,y,y,n,-170.0,16000.0
15,2023-09-02_Arkansas State_Oklahoma,2023-09-02,36.5,O,57.5,Oklahoma,Arkansas State,Arkansas State_Oklahoma,73,0,away,home,n,y,n,-103.0,7500.0
16,2023-09-02_Army_Louisiana Monroe,2023-09-02,8.5,U,47.0,Louisiana Monroe,Army,Army_Louisiana Monroe,17,13,away,home,n,n,y,-370.22222222222223,1141.0740740740741
17,2023-09-02_Auburn_Massachusetts,2023-09-02,35.0,O,51.0,Auburn,Massachusetts,Auburn_Massachusetts,59,14,home,away,y,y,n,-1167.1666666666667,6666.666666666667
18,2023-09-02_Ball State_Kentucky,2023-09-02,25.5,O,49.0,Kentucky,Ball State,Ball State_Kentucky,44,14,away,home,n,y,n,-1662.0,888.2
19,2023-09-02_Baylor_Texas State,2023-09-02,27.0,O,59.0,Baylor,Texas State,Baylor_Texas State,31,42,home,away,n,n,y,-917.1111111111111,1494.7777777777778
20,2023-09-02_Boise State_Washington,2023-09-02,14.5,O,59.0,Washington,Boise State,Boise State_Washington,56,19,away,home,n,y,n,-730.8421052631579,496.3421052631579
21,2023-09-02_Boston College_Northern Illinois,2023-09-02,8.0,O,50.0,Boston College,Northern Illinois,Boston College_Northern Illinois,24,27,away,home,n,y,n,-434.64102564102564,358.0
22,2023-09-02_Bowling Green_Liberty,2023-09-02,8.0,O,49.0,Liberty,Bowling Green,Bowling Green_Liberty,34,24,away,home,n,y,n,-434.64102564102564,358.0
23,2023-09-02_Buffalo_Wisconsin,2023-09-02,28.5,O,52.5,Wisconsin,Buffalo,Buffalo_Wisconsin,38,17,away,home,n,n,y,-1527.7777777777778,2232.777777777778
24,2023-09-02_California_North Texas,2023-09-02,5.0,O,53.5,North Texas,California,California_North Texas,21,58,home,away,n,n,y,-398.10526315789474,415.05263157894734
25,2023-09-02_Coastal Carolina_UCLA,2023-09-02,15.5,U,66.5,UCLA,Coastal Carolina,Coastal Carolina_UCLA,27,13,home,away,n,n,y,-607.6153846153846,474.88461538461536
26,2023-09-02_Colorado State_Washington State,2023-09-02,8.5,O,54.0,Colorado State,Washington State,Colorado State_Washington State,24,50,away,home,y,n,y,-370.22222222222223,1141.0740740740741
27,2023-09-02_Colorado_TCU,2023-09-02,21.0,O,63.5,TCU,Colorado,Colorado_TCU,42,45,home,away,n,n,y,-855.2,704.6285714285714
28,2023-09-02_East Carolina_Michigan,2023-09-02,35.5,U,53.5,Michigan,East Carolina,East Carolina_Michigan,30,3,away,home,n,n,y,-307.85714285714283,8100.0
29,2023-09-02_Fresno State_Purdue,2023-09-02,4.0,O,47.0,Purdue,Fresno State,Fresno State_Purdue,35,39,away,home,n,y,n,-252.21686746987953,446.71084337349396
30,2023-09-02_Houston_UTSA,2023-09-02,2.5,U,59.0,Houston,UTSA,Houston_UTSA,17,14,home,away,y,y,n,-378.39325842696627,412.0
31,2023-09-02_Illinois_Toledo,2023-09-02,7.5,O,45.5,Illinois,Toledo,Illinois_Toledo,30,28,home,away,n,n,y,-367.5833333333333,977.5555555555555
32,2023-09-02_Indiana_Ohio State,2023-09-02,30.0,U,59.5,Indiana,Ohio State,Indiana_Ohio State,3,23,away,home,n,y,n,-2039.0,2622.8333333333335
33,2023-09-02_Iowa_Utah State,2023-09-02,24.0,U,43.5,Iowa,Utah State,Iowa_Utah State,24,14,home,away,n,n,y,-1007.78125,1114.375
34,2023-09-02_Louisiana Tech_SMU,2023-09-02,21.0,U,66.5,SMU,Louisiana Tech,Louisiana Tech_SMU,38,14,home,away,y,y,n,-855.2,704.6285714285714
35,2023-09-02_Nevada_USC,2023-09-02,38.0,O,63.5,USC,Nevada,Nevada_USC,66,14,home,away,y,y,n,-575.0,19500.0
36,2023-09-02_New Mexico_Texas A&M,2023-09-02,38.0,O,49.5,Texas A&M,New Mexico,New Mexico_Texas A&M,52,10,away,home,n,y,n,-575.0,19500.0
37,2023-09-02_North Carolina_South Carolina,2023-09-02,2.5,U,63.5,South Carolina,North Carolina,North Carolina_South Carolina,17,31,home,away,n,n,y,-378.39325842696627,412.0
38,2023-09-02_Old Dominion_Virginia Tech,2023-09-02,16.5,O,48.0,Virginia Tech,Old Dominion,Old Dominion_Virginia Tech,36,17,home,away,y,y,n,-1718.775,539.65
39,2023-09-02_Penn State_West Virginia,2023-09-02,21.0,O,48.5,Penn State,West Virginia,Penn State_West Virginia,38,15,home,away,y,y,n,-855.2,704.6285714285714
40,2023-09-02_South Alabama_Tulane,2023-09-02,6.0,O,51.0,Tulane,South Alabama,South Alabama_Tulane,37,17,away,home,n,y,n,-524.776119402985,786.1044776119403
41,2023-09-02_Tennessee_Virginia,2023-09-02,27.5,O,55.5,Tennessee,Virginia,Tennessee_Virginia,49,13,home,away,y,y,n,-3594.4117647058824,1418.1176470588234
42,2023-09-02_Texas Tech_Wyoming,2023-09-02,13.5,O,50.5,Wyoming,Texas Tech,Texas Tech_Wyoming,35,33,home,away,n,n,y,-448.22222222222223,1511.4888888888888
43,2023-09-02_USF_Western Kentucky,2023-09-02,13.0,U,71.5,Western Kentucky,USF,USF_Western Kentucky,41,24,away,home,n,y,n,-462.03125,577.53125
44,2023-09-03_Florida State_LSU,2023-09-03,2.0,O,56.5,Florida State,LSU,Florida State_LSU,45,24,home,away,y,y,n,-474.98,1152.84
45,2023-09-03_Northwestern_Rutgers,2023-09-03,5.0,U,38.5,Rutgers,Northwestern,Northwestern_Rutgers,24,7,away,home,n,y,n,-398.10526315789474,415.05263157894734
46,2023-09-03_Oregon State_San Jose State,2023-09-03,14.0,O,56.5,San Jose State,Oregon State,Oregon State_San Jose State,17,42,home,away,n,n,y,-480.8358208955224,508.25373134328356
47,2023-09-04_Clemson_Duke,2023-09-04,12.0,U,54.5,Duke,Clemson,Clemson_Duke,28,7,home,away,y,y,n,-411.86206896551727,430.82758620689657
48,2023-09-08_Illinois_Kansas,2023-09-08,3.5,U,57.5,Kansas,Illinois,Illinois_Kansas,34,23,away,home,n,y,n,-252.70491803278688,1557.639344262295
49,2023-09-09_Air Force_Sam Houston,2023-09-09,13.5,U,36.5,Sam Houston,Air Force,Air Force_Sam Houston,3,13,away,home,n,y,n,-448.22222222222223,1511.4888888888888
50,2023-09-09_Alabama_Texas,2023-09-09,7.0,O,53.5,Alabama,Texas,Alabama_Texas,24,34,home,away,n,n,y,-470.5263157894737,1887.4812030075188
51,2023-09-09_Appalachian State_North Carolina,2023-09-09,19.5,O,58.0,North Carolina,Appalachian State,Appalachian State_North Carolina,40,34,away,home,n,n,y,-1123.9473684210527,1319.4736842105262
52,2023-09-09_Arizona State_Oklahoma State,2023-09-09,2.5,U,53.5,Arizona State,Oklahoma State,Arizona State_Oklahoma State,15,27,home,away,n,n,y,-378.39325842696627,412.0
53,2023-09-09_Arizona_Mississippi State,2023-09-09,9.0,U,60.0,Mississippi State,Arizona,Arizona_Mississippi State,31,24,away,home,n,n,y,-311.2972972972973,422.86486486486484
