Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
Oklahoma 	24.5	1-2	0-0	4-0	1	54	1	2003
LSU 	20.4	3-0	3-1	1-0	1	37	2	2003
USC 	19.3	1-0	2-0	1-1	2	105	3	2003
Miami OH 	17.3	0-0	0-1	2-0	4	89	4	2003
Florida St 	16.9	0-0	2-3	2-0	2	95	5	2003
Texas 	16.7	1-1	1-2	2-0	1	61	6	2003
Michigan 	16.3	0-1	3-1	1-0	1	41	7	2003
Kansas St 	15.3	1-1	1-1	2-1	1	46	8	2003
Boise St 	14.7	0-0	0-0	0-1	8	50	9	2003
Georgia 	14.1	0-2	4-1	1-0	3	27	10	2003
Miami 	12.3	2-0	1-2	2-0	1	108	11	2003
Maryland 	12.1	0-1	1-0	4-0	12	109	12	2003
Iowa 	11.9	2-0	2-2	1-1	5	52	13	2003
Minnesota 	11.7	0-1	0-1	1-1	2	40	14	2003
Arkansas 	11.2	1-1	0-3	2-0	6	52	15	2003
Mississippi 	10.3	0-1	3-0	2-1	16	55	16	2003
Florida 	10.3	2-1	1-4	0-0	1	34	17	2003
Washington St 	9.5	1-1	0-0	2-0	10	103	18	2003
Auburn 	9.4	0-3	2-1	2-0	18	101	19	2003
Tennessee 	9.2	0-1	2-2	1-0	15	39	20	2003
Nebraska 	9.1	0-2	0-0	2-1	11	59	21	2003
Clemson 	8.7	1-1	1-1	1-1	22	109	22	2003
Purdue 	8.7	0-2	1-1	1-1	12	59	23	2003
Ohio St 	8.7	1-1	2-0	3-1	22	44	24	2003
Virginia Tech 	8.6	0-0	1-0	0-4	4	100	25	2003
Virginia 	8.4	0-1	1-2	1-1	16	94	26	2003
California 	8.2	1-1	1-0	0-2	19	117	27	2003
Texas Tech 	7.6	0-2	1-0	1-3	2	55	28	2003
NC State 	7.6	0-1	1-2	2-0	29	99	29	2003
Oklahoma St 	7.2	1-2	0-2	1-0	7	83	30	2003
Utah 	7.2	0-0	0-0	1-1	2	78	31	2003
New Mexico 	6.7	0-0	0-1	1-1	13	80	32	2003
Michigan St 	6.4	0-1	2-2	0-1	18	50	33	2003
Missouri 	5.5	0-2	1-1	1-0	16	55	34	2003
West Virginia 	5.4	0-0	1-3	1-1	20	115	35	2003
Bowling Green 	5.3	0-2	1-1	0-0	3	37	36	2003
